23.9,57.33,42.67
24,57.18,42.82
24.1,56.48,43.52
24.2,56.84,43.16
24.3,56.5,43.5
24.4,56.99,43.01
24.5,56.86,43.14
24.6,56.48,43.52
24.7,55.98,44.02
24.8,56.28,43.72
24.9,56.01,43.99
25,56.58,43.42
25.1,55.43,44.57
25.2,55.71,44.29
25.3,55.69,44.31
25.4,55.63,44.37
25.5,55.65,44.35
25.6,55.19,44.81
25.7,56.63,43.37
25.8,55.07,44.93
25.9,55.37,44.63
26,55.49,44.51
26.1,55.76,44.24
26.2,55.21,44.79
26.3,56.21,43.79
26.4,55.84,44.16
26.5,55.02,44.98
26.6,55.36,44.64
26.7,55.29,44.71
26.8,54.72,45.28
26.9,55.02,44.98
27,53.93,46.07
27.1,55.13,44.87
27.2,53.79,46.21
27.3,54.11,45.89
27.4,54.68,45.32
27.5,55.3,44.7
27.6,54.29,45.71
27.7,54.88,45.12
27.8,55.03,44.97
27.9,54.33,45.67
28,53.74,46.26
28.1,53.67,46.33
28.2,54.54,45.46
28.3,53.39,46.61
28.4,54.74,45.26
28.5,54.29,45.71
28.6,54.27,45.73
28.7,53.72,46.28
28.8,53.79,46.21
28.9,52.48,47.52
29,52.57,47.43
29.1,53.38,46.62
29.2,52.64,47.36
29.3,52.64,47.36
29.4,53.02,46.98
29.5,52.82,47.18
29.6,52.39,47.61
29.7,51.67,48.33
29.8,52.64,47.36
29.9,52.7,47.3
30,52.72,47.28
30.1,52.27,47.73
30.2,52.87,47.13
30.3,52.16,47.84
30.4,51.97,48.03
30.5,51.55,48.45
30.6,52.57,47.43
30.7,52.04,47.96
30.8,51.26,48.74
30.9,52.35,47.65
31,51.53,48.47
31.1,52.56,47.44
31.2,51.96,48.04
31.3,51.56,48.44
31.4,52.28,47.72
31.5,50.92,49.08
31.6,51.29,48.71
31.7,50.94,49.06
31.8,51.21,48.79
31.9,51.66,48.34
32,51.35,48.65
32.1,51.17,48.83
32.2,50.44,49.56
32.3,50.22,49.78
32.4,49.79,50.21
32.5,51.58,48.42
32.6,50.74,49.26
32.7,51.35,48.65
32.8,50.59,49.41
32.9,50.75,49.25
33,50.45,49.55
33.1,51.17,48.83
33.2,50.56,49.44
33.3,50,50
33.4,50.61,49.39
33.5,50.28,49.72
33.6,48.44,51.56
33.7,49.7,50.3
33.8,49.4,50.6
33.9,49.61,50.39
34,49.77,50.23
34.1,49.18,50.82
34.2,49.31,50.69
34.3,49.89,50.11
34.4,49.3,50.7
34.5,50.08,49.92
34.6,49.68,50.32
34.7,48.08,51.92
34.8,48.41,51.59
34.9,48.27,51.73
35,49.38,50.62
35.1,48.84,51.16
35.2,48.63,51.37
35.3,48.21,51.79
35.4,49.08,50.92
35.5,48.77,51.23
35.6,48.53,51.47
35.7,49.09,50.91
35.8,47.76,52.24
35.9,48.41,51.59
36,48.36,51.64
36.1,47.75,52.25
36.2,48.59,51.41
36.3,48,52
36.4,47.71,52.29
36.5,47.02,52.98
36.6,47.69,52.31
36.7,47.53,52.47
36.8,47.45,52.55
36.9,47.43,52.57
37,47.32,52.68
37.1,46.43,53.57
37.2,46.55,53.45
37.3,48.06,51.94
37.4,46.87,53.13
37.5,46.48,53.52
37.6,47.49,52.51
37.7,47.08,52.92
37.8,45.91,54.09
37.9,46.61,53.39
38,45.61,54.39
38.1,46.24,53.76
38.2,45.84,54.16
38.3,45.92,54.08
38.4,45.99,54.01
38.5,46.93,53.07
38.6,46.19,53.81
38.7,46.05,53.95
38.8,45.73,54.27
38.9,45.96,54.04
39,45.4,54.6
39.1,46.19,53.81
39.2,45.32,54.68
39.3,45.93,54.07
39.4,45.21,54.79
39.5,44.97,55.03
39.6,45.29,54.71
39.7,44.82,55.18
39.8,45.23,54.77
39.9,45.5,54.5
40,44.51,55.49
40.1,44.69,55.31
40.2,44.9,55.1
40.3,46.01,53.99
40.4,44.28,55.72
40.5,44.84,55.16
40.6,44,56
40.7,44.73,55.27
40.8,43.62,56.38
40.9,44.08,55.92
41,44.81,55.19
41.1,44.65,55.35
41.2,44,56
41.3,43.49,56.51
41.4,43.71,56.29
41.5,43,57
41.6,43.34,56.66
41.7,43.94,56.06
41.8,43.05,56.95
41.9,43.23,56.77
42,42.87,57.13
42.1,43.16,56.84
42.2,42.54,57.46
42.3,42.81,57.19
42.4,43.66,56.34
42.5,43.47,56.53
42.6,42.58,57.42
42.7,42.36,57.64
42.8,43.37,56.63
42.9,43.13,56.87
43,42.81,57.19
43.1,42.71,57.29
43.2,42.35,57.65
43.3,42.77,57.23
43.4,42.21,57.79
43.5,42.28,57.72
43.6,43.01,56.99
43.7,41.65,58.35
43.8,41.77,58.23
43.9,42.55,57.45
44,41.61,58.39
44.1,42.06,57.94
44.2,41.44,58.56
44.3,41.99,58.01
44.4,40.15,59.85
44.5,42.11,57.89
44.6,41.17,58.83
44.7,42.25,57.75
44.8,41.68,58.32
44.9,41.19,58.81
45,40.71,59.29
45.1,41.68,58.32
45.2,41.19,58.81
45.3,41.19,58.81
45.4,41.35,58.65
45.5,40.31,59.69
45.6,41.37,58.63
45.7,40.55,59.45
45.8,41.82,58.18
45.9,40.9,59.1
46,39.24,60.76
46.1,40.5,59.5
46.2,40.73,59.27
46.3,40.37,59.63
46.4,39.93,60.07
46.5,40.63,59.37
46.6,39.52,60.48
46.7,39.65,60.35
46.8,39.72,60.28
46.9,39.65,60.35
47,39.35,60.65
47.1,38.5,61.5
47.2,40.16,59.84
47.3,39.48,60.52
47.4,38.78,61.22
47.5,39.86,60.14
47.6,40.08,59.92
47.7,39.83,60.17
47.8,39.56,60.44
47.9,38.9,61.1
48,38.6,61.4
48.1,39.74,60.26
48.2,38.63,61.37
48.3,38.94,61.06
48.4,38.75,61.25
48.5,39.17,60.83
48.6,38.59,61.41
48.7,38.48,61.52
48.8,38.03,61.97
48.9,37.91,62.09
49,37.95,62.05
49.1,38.46,61.54
49.2,38.48,61.52
49.3,37.66,62.34
49.4,37.5,62.5
49.5,38.32,61.68
49.6,37.95,62.05
